cityname,latitude,longitude,altitude,date_date,mm_precipitation,temp_max,temp_min,temp_mediane,frost_day,hPa_tens_vapeur,sunny_time,sunnypower__J_cm2,mm_neige,year,month,day_in_a_decade
MONSOLS,46.219167,4.523167,525,1963-10-01,23.1,13.8,,,,,,,,1963,10,1
MONSOLS,46.219167,4.523167,525,1963-07-20,2.4,26.8,,,,,,,,1963,7,20
MONSOLS,46.219167,4.523167,525,1978-08-11,4.5,,,,,,,,,1978,8,11
MONSOLS,46.219167,4.523167,525,1963-08-20,24.1,20.4,,,,,,,,1963,8,20
MONSOLS,46.219167,4.523167,525,1981-08-11,5.0,22.8,,,,,,,,1981,8,11
MONSOLS,46.219167,4.523167,525,1977-07-20,87.0,,,,,,,,,1977,7,20
MONSOLS,46.219167,4.523167,525,1963-07-11,0.5,25.3,,,,,,,,1963,7,11
MONSOLS,46.219167,4.523167,525,1963-09-01,23.4,17.4,,,,,,,,1963,9,1
MONSOLS,46.219167,4.523167,525,1962-02-11,40.7,,,,,,,,,1962,2,11
MONSOLS,46.219167,4.523167,525,1976-07-20,17.0,,,,,,,,,1976,7,20
MONSOLS,46.219167,4.523167,525,1963-09-20,7.9,18.9,,,,,,,,1963,9,20
MONSOLS,46.219167,4.523167,525,1962-02-20,44.6,,,,,,,,,1962,2,20
MONSOLS,46.219167,4.523167,525,1963-10-11,0.0,17.5,,,,,,,,1963,10,11
MONSOLS,46.219167,4.523167,525,1983-08-11,56.4,,,,,,,,,1983,8,11
MONSOLS,46.219167,4.523167,525,1963-08-01,79.2,22.8,,,,,,,,1963,8,1
MONSOLS,46.219167,4.523167,525,1963-07-01,34.8,25.4,,,,,,,,1963,7,1
MONSOLS,46.219167,4.523167,525,1981-08-20,9.6,24.3,,,,,,,,1981,8,20
MONSOLS,46.219167,4.523167,525,1962-02-01,26.4,,,,,,,,,1962,2,1
MONSOLS,46.219167,4.523167,525,1981-08-01,29.6,25.0,,,,,,,,1981,8,1
MONSOLS,46.219167,4.523167,525,1963-08-11,102.8,19.9,,,,,,,,1963,8,11
MONSOLS,46.219167,4.523167,525,1990-08-20,44.6,23.8,,,,,,,,1990,8,20
MONSOLS,46.219167,4.523167,525,1963-09-11,45.4,22.8,,,,,,,,1963,9,11
MONSOLS,46.219167,4.523167,525,1976-08-01,8.0,,,,,,,,,1976,8,1
MONSOLS,46.219167,4.523167,525,1965-07-20,30.0,,,,,,,,,1965,7,20
MONSOLS,46.219167,4.523167,525,1983-08-01,1.0,,,,,,,,,1983,8,1
BULLY,45.845,4.584167,280,1955-07-20,14.7,,,,,,,,,1955,7,20
BULLY,45.845,4.584167,280,1955-11-11,6.5,,,,,,,,,1955,11,11
BULLY,45.845,4.584167,280,1955-05-01,9.9,,,,,,,,,1955,5,1
BULLY,45.845,4.584167,280,1954-08-01,7.9,,,,,,,,,1954,8,1
BULLY,45.845,4.584167,280,1957-07-11,13.6,,,,,,,,,1957,7,11
BULLY,45.845,4.584167,280,1954-11-20,14.0,,,,,,,,,1954,11,20
BULLY,45.845,4.584167,280,1979-06-01,22.4,,,,,,,,,1979,6,1
BULLY,45.845,4.584167,280,1957-02-11,36.1,,,,,,,,,1957,2,11
BULLY,45.845,4.584167,280,1957-01-01,5.2,,,,,,,,,1957,1,1
BULLY,45.845,4.584167,280,1955-09-20,9.2,,,,,,,,,1955,9,20
BULLY,45.845,4.584167,280,1957-06-20,82.5,,,,,,,,,1957,6,20
BULLY,45.845,4.584167,280,1979-12-01,6.4,,,,,,,,,1979,12,1
BULLY,45.845,4.584167,280,1953-10-11,36.0,,,,,,,,,1953,10,11
BULLY,45.845,4.584167,280,1954-10-11,5.3,,,,,,,,,1954,10,11
BULLY,45.845,4.584167,280,1955-04-01,4.0,,,,,,,,,1955,4,1
BULLY,45.845,4.584167,280,1954-01-20,5.7,,,,,,,,,1954,1,20
BULLY,45.845,4.584167,280,1954-06-01,12.6,,,,,,,,,1954,6,1
BULLY,45.845,4.584167,280,1956-04-01,17.3,,,,,,,,,1956,4,1
BULLY,45.845,4.584167,280,1979-02-01,29.5,,,,,,,,,1979,2,1
BULLY,45.845,4.584167,280,1957-05-20,10.6,,,,,,,,,1957,5,20
BULLY,45.845,4.584167,280,1954-04-01,21.1,,,,,,,,,1954,4,1
BULLY,45.845,4.584167,280,1956-07-11,58.9,,,,,,,,,1956,7,11
BULLY,45.845,4.584167,280,1954-05-01,3.4,,,,,,,,,1954,5,1
BULLY,45.845,4.584167,280,1979-09-01,34.4,,,,,,,,,1979,9,1
BULLY,45.845,4.584167,280,1956-08-11,34.0,,,,,,,,,1956,8,11
BULLY,45.845,4.584167,280,1954-03-11,17.4,,,,,,,,,1954,3,11
BULLY,45.845,4.584167,280,1957-07-20,15.0,,,,,,,,,1957,7,20
BULLY,45.845,4.584167,280,1956-06-20,7.5,,,,,,,,,1956,6,20
BULLY,45.845,4.584167,280,1980-02-20,14.8,,,,,,,,,1980,2,20
BULLY,45.845,4.584167,280,1954-03-20,5.9,,,,,,,,,1954,3,20
BULLY,45.845,4.584167,280,1955-12-20,27.2,,,,,,,,,1955,12,20
BULLY,45.845,4.584167,280,1956-01-11,20.6,,,,,,,,,1956,1,11
BULLY,45.845,4.584167,280,1955-07-11,41.3,,,,,,,,,1955,7,11
BULLY,45.845,4.584167,280,1953-09-11,10.4,,,,,,,,,1953,9,11
BULLY,45.845,4.584167,280,1979-07-11,46.9,,,,,,,,,1979,7,11
BULLY,45.845,4.584167,280,1957-04-11,0.8,,,,,,,,,1957,4,11
BULLY,45.845,4.584167,280,1979-01-01,42.2,,,,,,,,,1979,1,1
BULLY,45.845,4.584167,280,1956-02-11,8.2,,,,,,,,,1956,2,11
BULLY,45.845,4.584167,280,1953-09-20,73.3,,,,,,,,,1953,9,20
BULLY,45.845,4.584167,280,1956-09-01,85.7,,,,,,,,,1956,9,1
BULLY,45.845,4.584167,280,1980-03-01,9.4,,,,,,,,,1980,3,1
BULLY,45.845,4.584167,280,1979-12-20,20.4,,,,,,,,,1979,12,20
BULLY,45.845,4.584167,280,1979-02-20,0.2,,,,,,,,,1979,2,20
BULLY,45.845,4.584167,280,1979-02-11,13.4,,,,,,,,,1979,2,11
BULLY,45.845,4.584167,280,1957-07-01,2.0,,,,,,,,,1957,7,1
BULLY,45.845,4.584167,280,1978-11-11,1.2,,,,,,,,,1978,11,11
BULLY,45.845,4.584167,280,1979-06-20,21.1,,,,,,,,,1979,6,20
BULLY,45.845,4.584167,280,1956-02-20,0.0,,,,,,,,,1956,2,20
BULLY,45.845,4.584167,280,1979-05-20,55.3,,,,,,,,,1979,5,20
BULLY,45.845,4.584167,280,1953-08-20,5.1,,,,,,,,,1953,8,20
BULLY,45.845,4.584167,280,1954-09-20,9.6,,,,,,,,,1954,9,20
BULLY,45.845,4.584167,280,1956-11-01,7.6,,,,,,,,,1956,11,1
BULLY,45.845,4.584167,280,1956-04-11,23.5,,,,,,,,,1956,4,11
BULLY,45.845,4.584167,280,1979-08-20,29.5,,,,,,,,,1979,8,20
BULLY,45.845,4.584167,280,1953-06-11,13.5,,,,,,,,,1953,6,11
BULLY,45.845,4.584167,280,1979-03-20,17.1,,,,,,,,,1979,3,20
BULLY,45.845,4.584167,280,1979-07-20,10.9,,,,,,,,,1979,7,20
BULLY,45.845,4.584167,280,1954-08-20,29.7,,,,,,,,,1954,8,20
BULLY,45.845,4.584167,280,1954-09-01,7.5,,,,,,,,,1954,9,1
BULLY,45.845,4.584167,280,1957-05-11,16.4,,,,,,,,,1957,5,11
BULLY,45.845,4.584167,280,1955-10-20,2.4,,,,,,,,,1955,10,20
BULLY,45.845,4.584167,280,1956-01-20,17.8,,,,,,,,,1956,1,20
BULLY,45.845,4.584167,280,1957-06-01,49.5,,,,,,,,,1957,6,1
BULLY,45.845,4.584167,280,1956-06-01,35.8,,,,,,,,,1956,6,1
BULLY,45.845,4.584167,280,1978-12-20,20.9,,,,,,,,,1978,12,20
BULLY,45.845,4.584167,280,1979-05-11,10.7,,,,,,,,,1979,5,11
BULLY,45.845,4.584167,280,1957-02-20,27.5,,,,,,,,,1957,2,20
BULLY,45.845,4.584167,280,1958-12-20,6.4,,,,,,,,,1958,12,20
BULLY,45.845,4.584167,280,1956-03-20,44.8,,,,,,,,,1956,3,20
BULLY,45.845,4.584167,280,1957-06-11,15.7,,,,,,,,,1957,6,11
BULLY,45.845,4.584167,280,1956-12-11,6.4,,,,,,,,,1956,12,11
BULLY,45.845,4.584167,280,1956-11-11,8.8,,,,,,,,,1956,11,11
BULLY,45.845,4.584167,280,1954-11-01,7.0,,,,,,,,,1954,11,1
BULLY,45.845,4.584167,280,1956-09-20,90.5,,,,,,,,,1956,9,20
BULLY,45.845,4.584167,280,1955-02-01,40.3,,,,,,,,,1955,2,1
BULLY,45.845,4.584167,280,1979-09-11,6.6,,,,,,,,,1979,9,11
BULLY,45.845,4.584167,280,1956-03-11,0.0,,,,,,,,,1956,3,11
BULLY,45.845,4.584167,280,1954-06-20,12.4,,,,,,,,,1954,6,20
BULLY,45.845,4.584167,280,1980-03-11,19.6,,,,,,,,,1980,3,11
BULLY,45.845,4.584167,280,1955-03-11,6.2,,,,,,,,,1955,3,11
BULLY,45.845,4.584167,280,1957-03-11,0.0,,,,,,,,,1957,3,11
BULLY,45.845,4.584167,280,1979-11-20,0.0,,,,,,,,,1979,11,20
BULLY,45.845,4.584167,280,1957-04-20,35.9,,,,,,,,,1957,4,20
BULLY,45.845,4.584167,280,1958-12-11,47.7,,,,,,,,,1958,12,11
BULLY,45.845,4.584167,280,1979-09-20,0.0,,,,,,,,,1979,9,20
BULLY,45.845,4.584167,280,1955-04-20,0.0,,,,,,,,,1955,4,20
BULLY,45.845,4.584167,280,1956-12-01,0.7,,,,,,,,,1956,12,1
BULLY,45.845,4.584167,280,1957-04-01,13.2,,,,,,,,,1957,4,1
BULLY,45.845,4.584167,280,1954-07-01,16.1,,,,,,,,,1954,7,1
BULLY,45.845,4.584167,280,1954-08-11,68.3,,,,,,,,,1954,8,11
BULLY,45.845,4.584167,280,1955-01-01,33.0,,,,,,,,,1955,1,1
BULLY,45.845,4.584167,280,1955-08-20,28.7,,,,,,,,,1955,8,20
BULLY,45.845,4.584167,280,1978-12-11,26.5,,,,,,,,,1978,12,11
BULLY,45.845,4.584167,280,1980-01-20,18.8,,,,,,,,,1980,1,20
BULLY,45.845,4.584167,280,1955-05-20,4.6,,,,,,,,,1955,5,20
BULLY,45.845,4.584167,280,1955-03-20,15.0,,,,,,,,,1955,3,20
BULLY,45.845,4.584167,280,1956-08-01,15.6,,,,,,,,,1956,8,1
BULLY,45.845,4.584167,280,1954-10-20,25.1,,,,,,,,,1954,10,20
BULLY,45.845,4.584167,280,1979-12-11,38.5,,,,,,,,,1979,12,11
BULLY,45.845,4.584167,280,1979-01-20,35.7,,,,,,,,,1979,1,20
BULLY,45.845,4.584167,280,1955-06-01,60.2,,,,,,,,,1955,6,1
BULLY,45.845,4.584167,280,1979-08-11,44.3,,,,,,,,,1979,8,11
BULLY,45.845,4.584167,280,1978-09-20,1.3,,,,,,,,,1978,9,20
BULLY,45.845,4.584167,280,1955-11-01,10.0,,,,,,,,,1955,11,1
BULLY,45.845,4.584167,280,1953-07-01,12.2,,,,,,,,,1953,7,1
BULLY,45.845,4.584167,280,1979-07-01,0.0,,,,,,,,,1979,7,1
BULLY,45.845,4.584167,280,1956-09-11,0.0,,,,,,,,,1956,9,11
BULLY,45.845,4.584167,280,1955-08-01,14.2,,,,,,,,,1955,8,1
BULLY,45.845,4.584167,280,1954-11-11,0.0,,,,,,,,,1954,11,11
BULLY,45.845,4.584167,280,1979-11-01,13.6,,,,,,,,,1979,11,1
BULLY,45.845,4.584167,280,1979-04-01,6.4,,,,,,,,,1979,4,1
BULLY,45.845,4.584167,280,1958-12-01,0.0,,,,,,,,,1958,12,1
BULLY,45.845,4.584167,280,1954-10-01,2.2,,,,,,,,,1954,10,1
BULLY,45.845,4.584167,280,1980-01-01,13.1,,,,,,,,,1980,1,1
BULLY,45.845,4.584167,280,1955-12-11,15.5,,,,,,,,,1955,12,11
BULLY,45.845,4.584167,280,1953-08-01,41.5,,,,,,,,,1953,8,1
BULLY,45.845,4.584167,280,1955-11-20,25.5,,,,,,,,,1955,11,20
BULLY,45.845,4.584167,280,1979-11-11,17.6,,,,,,,,,1979,11,11
BULLY,45.845,4.584167,280,1955-06-20,1.0,,,,,,,,,1955,6,20
BULLY,45.845,4.584167,280,1954-01-11,12.0,,,,,,,,,1954,1,11
BULLY,45.845,4.584167,280,1956-02-01,0.0,,,,,,,,,1956,2,1
BULLY,45.845,4.584167,280,1954-02-11,17.4,,,,,,,,,1954,2,11
BULLY,45.845,4.584167,280,1955-02-11,0.0,,,,,,,,,1955,2,11
BULLY,45.845,4.584167,280,1953-09-01,1.2,,,,,,,,,1953,9,1
BULLY,45.845,4.584167,280,1979-04-11,3.6,,,,,,,,,1979,4,11
BULLY,45.845,4.584167,280,1980-03-20,34.9,,,,,,,,,1980,3,20
BULLY,45.845,4.584167,280,1953-07-11,12.7,,,,,,,,,1953,7,11
BULLY,45.845,4.584167,280,1956-07-01,34.6,,,,,,,,,1956,7,1
BULLY,45.845,4.584167,280,1956-05-20,40.3,,,,,,,,,1956,5,20
BULLY,45.845,4.584167,280,1956-11-20,8.3,,,,,,,,,1956,11,20
BULLY,45.845,4.584167,280,1979-08-01,12.0,,,,,,,,,1979,8,1
BULLY,45.845,4.584167,280,1953-07-20,40.7,,,,,,,,,1953,7,20
BULLY,45.845,4.584167,280,1955-04-11,0.0,,,,,,,,,1955,4,11
BULLY,45.845,4.584167,280,1980-02-01,25.2,,,,,,,,,1980,2,1
BULLY,45.845,4.584167,280,1979-01-11,7.2,,,,,,,,,1979,1,11
BULLY,45.845,4.584167,280,1957-02-01,7.3,,,,,,,,,1957,2,1
BULLY,45.845,4.584167,280,1953-11-11,0.0,,,,,,,,,1953,11,11
BULLY,45.845,4.584167,280,1955-10-01,13.9,,,,,,,,,1955,10,1
BULLY,45.845,4.584167,280,1978-12-01,11.7,,,,,,,,,1978,12,1
BULLY,45.845,4.584167,280,1978-11-01,0.0,,,,,,,,,1978,11,1
BULLY,45.845,4.584167,280,1954-04-11,0.0,,,,,,,,,1954,4,11
BULLY,45.845,4.584167,280,1978-09-11,2.3,,,,,,,,,1978,9,11
BULLY,45.845,4.584167,280,1953-11-01,10.1,,,,,,,,,1953,11,1
BULLY,45.845,4.584167,280,1954-04-20,2.4,,,,,,,,,1954,4,20
BULLY,45.845,4.584167,280,1954-02-01,12.7,,,,,,,,,1954,2,1
BULLY,45.845,4.584167,280,1956-03-01,3.2,,,,,,,,,1956,3,1
BULLY,45.845,4.584167,280,1955-07-01,1.2,,,,,,,,,1955,7,1
BULLY,45.845,4.584167,280,1954-02-20,4.5,,,,,,,,,1954,2,20
BULLY,45.845,4.584167,280,1955-06-11,38.1,,,,,,,,,1955,6,11
BULLY,45.845,4.584167,280,1956-04-20,16.2,,,,,,,,,1956,4,20
BULLY,45.845,4.584167,280,1953-06-01,80.6,,,,,,,,,1953,6,1
BULLY,45.845,4.584167,280,1955-12-01,1.4,,,,,,,,,1955,12,1
BULLY,45.845,4.584167,280,1954-07-11,1.8,,,,,,,,,1954,7,11
BULLY,45.845,4.584167,280,1979-05-01,20.1,,,,,,,,,1979,5,1
BULLY,45.845,4.584167,280,1953-11-20,1.0,,,,,,,,,1953,11,20
BULLY,45.845,4.584167,280,1953-08-11,12.4,,,,,,,,,1953,8,11
BULLY,45.845,4.584167,280,1956-06-11,6.6,,,,,,,,,1956,6,11
BULLY,45.845,4.584167,280,1955-10-11,5.0,,,,,,,,,1955,10,11
BULLY,45.845,4.584167,280,1956-07-20,7.6,,,,,,,,,1956,7,20
BULLY,45.845,4.584167,280,1954-12-01,47.1,,,,,,,,,1954,12,1
BULLY,45.845,4.584167,280,1979-10-20,71.7,,,,,,,,,1979,10,20
BULLY,45.845,4.584167,280,1954-09-11,29.9,,,,,,,,,1954,9,11
BULLY,45.845,4.584167,280,1979-06-11,32.7,,,,,,,,,1979,6,11
BULLY,45.845,4.584167,280,1956-12-20,42.0,,,,,,,,,1956,12,20
BULLY,45.845,4.584167,280,1953-10-01,0.0,,,,,,,,,1953,10,1
BULLY,45.845,4.584167,280,1954-05-11,37.1,,,,,,,,,1954,5,11
BULLY,45.845,4.584167,280,1978-10-11,12.7,,,,,,,,,1978,10,11
BULLY,45.845,4.584167,280,1955-09-01,9.0,,,,,,,,,1955,9,1
BULLY,45.845,4.584167,280,1957-03-01,1.2,,,,,,,,,1957,3,1
BULLY,45.845,4.584167,280,1955-01-11,23.4,,,,,,,,,1955,1,11
BULLY,45.845,4.584167,280,1956-08-20,34.9,,,,,,,,,1956,8,20
BULLY,45.845,4.584167,280,1957-01-20,8.4,,,,,,,,,1957,1,20
BULLY,45.845,4.584167,280,1957-01-11,8.0,,,,,,,,,1957,1,11
BULLY,45.845,4.584167,280,1954-01-01,4.0,,,,,,,,,1954,1,1
BULLY,45.845,4.584167,280,1955-03-01,3.5,,,,,,,,,1955,3,1
BULLY,45.845,4.584167,280,1979-10-01,21.8,,,,,,,,,1979,10,1
BULLY,45.845,4.584167,280,1979-03-01,14.7,,,,,,,,,1979,3,1
BULLY,45.845,4.584167,280,1979-04-20,6.0,,,,,,,,,1979,4,20
BULLY,45.845,4.584167,280,1955-05-11,24.5,,,,,,,,,1955,5,11
BULLY,45.845,4.584167,280,1954-03-01,2.6,,,,,,,,,1954,3,1
BULLY,45.845,4.584167,280,1955-08-11,23.7,,,,,,,,,1955,8,11
BULLY,45.845,4.584167,280,1956-01-01,3.3,,,,,,,,,1956,1,1
BULLY,45.845,4.584167,280,1954-12-20,12.3,,,,,,,,,1954,12,20
BULLY,45.845,4.584167,280,1979-03-11,23.8,,,,,,,,,1979,3,11
BULLY,45.845,4.584167,280,1978-10-20,0.4,,,,,,,,,1978,10,20
BULLY,45.845,4.584167,280,1954-07-20,0.0,,,,,,,,,1954,7,20
BULLY,45.845,4.584167,280,1953-10-20,26.8,,,,,,,,,1953,10,20
BULLY,45.845,4.584167,280,1978-10-01,11.9,,,,,,,,,1978,10,1
BULLY,45.845,4.584167,280,1953-06-20,77.9,,,,,,,,,1953,6,20
BULLY,45.845,4.584167,280,1955-09-11,3.4,,,,,,,,,1955,9,11
BULLY,45.845,4.584167,280,1955-01-20,5.5,,,,,,,,,1955,1,20
BULLY,45.845,4.584167,280,1954-06-11,4.5,,,,,,,,,1954,6,11
BULLY,45.845,4.584167,280,1954-12-11,3.9,,,,,,,,,1954,12,11
BULLY,45.845,4.584167,280,1956-05-01,10.0,,,,,,,,,1956,5,1
BULLY,45.845,4.584167,280,1979-10-11,49.7,,,,,,,,,1979,10,11
BULLY,45.845,4.584167,280,1980-02-11,5.7,,,,,,,,,1980,2,11
BULLY,45.845,4.584167,280,1955-02-20,11.2,,,,,,,,,1955,2,20
BULLY,45.845,4.584167,280,1957-03-20,11.7,,,,,,,,,1957,3,20
BULLY,45.845,4.584167,280,1980-01-11,0.0,,,,,,,,,1980,1,11
BULLY,45.845,4.584167,280,1956-05-11,36.5,,,,,,,,,1956,5,11
BULLY,45.845,4.584167,280,1978-11-20,3.5,,,,,,,,,1978,11,20
BULLY,45.845,4.584167,280,1957-05-01,0.0,,,,,,,,,1957,5,1
BULLY,45.845,4.584167,280,1954-05-20,18.8,,,,,,,,,1954,5,20
MORNANT,45.6145,4.673833,343,1989-08-11,11.8,29.6,,,,,,,,1989,8,11
MORNANT,45.6145,4.673833,343,1989-09-01,18.8,22.8,,,,,,,,1989,9,1
MORNANT,45.6145,4.673833,343,1989-10-11,2.0,17.8,,,,,,,,1989,10,11
MORNANT,45.6145,4.673833,343,1989-10-20,5.9,21.4,,,,,,,,1989,10,20
MORNANT,45.6145,4.673833,343,1990-10-20,54.5,,,,,,,,,1990,10,20
MORNANT,45.6145,4.673833,343,1989-10-01,13.5,16.4,,,,,,,,1989,10,1
MORNANT,45.6145,4.673833,343,1989-05-20,34.8,25.7,,,,,,,,1989,5,20
MORNANT,45.6145,4.673833,343,1990-11-11,13.5,,,,,,,,,1990,11,11
MORNANT,45.6145,4.673833,343,1989-08-20,1.9,25.6,,,,,,,,1989,8,20
MORNANT,45.6145,4.673833,343,1990-12-20,14.0,,,,,,,,,1990,12,20
MORNANT,45.6145,4.673833,343,1990-12-01,44.9,,,,,,,,,1990,12,1
MORNANT,45.6145,4.673833,343,1989-06-11,0.0,26.2,,,,,,,,1989,6,11
MORNANT,45.6145,4.673833,343,1989-06-01,17.0,19.3,,,,,,,,1989,6,1
MORNANT,45.6145,4.673833,343,1990-11-01,13.0,,,,,,,,,1990,11,1
MORNANT,45.6145,4.673833,343,1990-10-01,0.0,,,,,,,,,1990,10,1
MORNANT,45.6145,4.673833,343,1989-09-11,23.0,22.7,,,,,,,,1989,9,11
MORNANT,45.6145,4.673833,343,1989-07-20,2.6,,,,,,,,,1989,7,20
MORNANT,45.6145,4.673833,343,1989-08-01,31.4,26.0,,,,,,,,1989,8,1
MORNANT,45.6145,4.673833,343,1989-09-20,16.6,19.7,,,,,,,,1989,9,20
MORNANT,45.6145,4.673833,343,1989-07-11,2.2,,,,,,,,,1989,7,11
MORNANT,45.6145,4.673833,343,1989-07-01,36.3,,,,,,,,,1989,7,1
MORNANT,45.6145,4.673833,343,1975-09-20,36.1,,,,,,,,,1975,9,20
MORNANT,45.6145,4.673833,343,1990-12-11,1.4,,,,,,,,,1990,12,11
MORNANT,45.6145,4.673833,343,1990-10-11,49.0,,,,,,,,,1990,10,11
MORNANT,45.6145,4.673833,343,1989-06-20,4.2,26.1,,,,,,,,1989,6,20
MORNANT,45.6145,4.673833,343,1990-11-20,87.0,,,,,,,,,1990,11,20
MORNANT,45.6145,4.673833,343,1989-11-01,70.9,12.4,,,,,,,,1989,11,1
MONSOLS,46.219167,4.523167,525,1976-01-01,7.4,8.3,0.0,4.2,7.0,,,,,1976,1,1
MONSOLS,46.219167,4.523167,525,1983-01-11,67.2,5.2,0.0,2.6,7.0,,,,,1983,1,11
MONSOLS,46.219167,4.523167,525,1975-02-01,7.4,7.9,0.0,3.9,5.0,,,,,1975,2,1
MONSOLS,46.219167,4.523167,525,1994-02-01,33.4,6.1,0.0,3.0,5.0,,,,,1994,2,1
MONSOLS,46.219167,4.523167,525,1989-01-01,20.5,4.9,0.0,2.4,3.0,,,,,1989,1,1
MONSOLS,46.219167,4.523167,525,2007-03-20,27.6,8.5,0.0,4.2,8.0,,,,0.0,2007,3,20
MONSOLS,46.219167,4.523167,525,1956-04-01,19.8,10.7,0.0,5.3,6.0,,,,,1956,4,1
MONSOLS,46.219167,4.523167,525,1985-01-20,52.4,6.8,0.0,3.4,5.0,,,,,1985,1,20
MONSOLS,46.219167,4.523167,525,1966-12-11,50.1,6.3,0.0,3.1,6.0,,,,,1966,12,11
MONSOLS,46.219167,4.523167,525,2005-12-01,32.8,6.2,0.0,3.1,3.0,,,,,2005,12,1
MONSOLS,46.219167,4.523167,525,1999-11-20,1.8,4.8,0.0,2.4,4.0,,,,,1999,11,20
MONSOLS,46.219167,4.523167,525,2020-03-20,4.5,10.5,0.0,5.3,6.0,,,,,2020,3,20
MONSOLS,46.219167,4.523167,525,1984-03-11,7.0,10.0,0.0,5.0,6.0,,,,,1984,3,11
MONSOLS,46.219167,4.523167,525,1998-03-20,2.1,12.6,0.0,6.3,6.0,,,,,1998,3,20
MONSOLS,46.219167,4.523167,525,2016-12-11,12.2,7.5,0.0,3.7,6.0,,,,,2016,12,11
MONSOLS,46.219167,4.523167,525,1961-11-01,49.2,7.2,0.0,3.6,6.0,,,,,1961,11,1
MONSOLS,46.219167,4.523167,525,1998-04-11,61.2,8.8,0.0,4.4,4.0,,,,,1998,4,11
MONSOLS,46.219167,4.523167,525,2015-11-20,59.5,5.5,0.0,2.7,7.0,,,,,2015,11,20
MONSOLS,46.219167,4.523167,525,1950-02-20,27.3,6.4,0.0,3.2,4.0,,,,,1950,2,20
MONSOLS,46.219167,4.523167,525,1982-03-01,40.6,8.5,0.0,4.3,5.0,,,,,1982,3,1
MONSOLS,46.219167,4.523167,525,1968-03-11,16.8,8.4,0.0,4.2,7.0,,,,,1968,3,11
BULLY,45.845,4.584167,280,1990-02-01,12.2,14.3,0.0,7.1,6.0,,,,,1990,2,1
BULLY,45.845,4.584167,280,2005-01-01,3.9,11.2,0.0,5.6,4.0,,,,0.0,2005,1,1
BULLY,45.845,4.584167,280,1985-10-20,0.0,13.0,0.0,6.5,4.0,,,,,1985,10,20
BULLY,45.845,4.584167,280,1982-04-11,0.0,14.5,0.0,7.2,6.0,,,,,1982,4,11
BULLY,45.845,4.584167,280,1995-11-01,0.6,10.4,0.0,5.2,5.0,,,,,1995,11,1
BULLY,45.845,4.584167,280,1959-11-20,39.4,9.4,0.0,4.7,5.0,,,,,1959,11,20
BULLY,45.845,4.584167,280,1958-01-01,21.1,7.1,0.0,3.5,5.0,,,,,1958,1,1
BULLY,45.845,4.584167,280,2000-12-20,7.4,7.2,0.0,3.6,8.0,,,,,2000,12,20
BULLY,45.845,4.584167,280,1982-02-01,0.0,11.7,0.0,5.9,7.0,,,,,1982,2,1
BULLY,45.845,4.584167,280,1958-03-11,33.1,6.6,0.0,3.3,4.0,,,,,1958,3,11
BULLY,45.845,4.584167,280,1991-02-20,13.9,15.4,0.0,7.7,5.0,,,,,1991,2,20
BULLY,45.845,4.584167,280,2000-02-20,9.2,12.8,0.0,6.4,5.0,,,,,2000,2,20
BULLY,45.845,4.584167,280,1968-01-01,51.1,3.5,0.0,1.7,6.0,,,,,1968,1,1
BULLY,45.845,4.584167,280,1971-03-20,43.8,9.6,0.0,4.8,6.0,,,,,1971,3,20
BULLY,45.845,4.584167,280,1991-12-20,16.1,6.3,0.0,3.2,6.0,,,,,1991,12,20
BULLY,45.845,4.584167,280,1958-11-11,0.9,3.4,0.0,1.7,6.0,,,,,1958,11,11
BULLY,45.845,4.584167,280,2013-11-20,9.2,5.5,0.0,2.8,5.0,,,,0.0,2013,11,20
BULLY,45.845,4.584167,280,1987-12-20,4.3,7.7,0.0,3.9,6.0,,,,,1987,12,20
MORNANT,45.6145,4.673833,343,1995-03-01,14.0,9.7,0.0,4.8,6.0,,,,,1995,3,1
MORNANT,45.6145,4.673833,343,1975-01-01,3.0,5.5,0.0,2.8,7.0,,,,,1975,1,1
